username,role,course_id,slug_id,slug_type,title,nposts,body,code
aabril77cd,Student,UBCx/Climate1x/1T2016,56b8dc56af36f305390006ff,initial_post,"What will happen to Guatemala if since last year Fuego Volcano is active, and its erupts yet?",0,"Since last year Fuego Volcano it is has been active, and we have ash rain, (if I can say it), more times than ever. Some days there are a lot dark clouds but it´s not rain.
 What we can expect about this situation??",t
Giseht,Student,UBCx/Climate1x/1T2016,56aa458be160f205110011d2,initial_post,Question Assigment 1,1,"Hi, I submited my essay yesterday before the deadline to the map and today I realized I forgot to submit in the peer review system. Is there any way to submited in the peer review system?
 Thank you",p
gabrielbuhe,Student,UBCx/Climate1x/1T2016,56a170cb5fd7090531000b8d,initial_post,TRABAJO 1,0,"BUENAS NOCHES, 
 
 QUISIERA SABER COMO HAGO PARA CARGAR MI TRABAJO DE LA ACTIVIDAD 1 DONDE INGRESO PARA CARGARLO",p
Jamesjars,Student,UBCx/Climate1x/1T2016,569fe6755fd70904ed000a79,initial_post,Role of science,2,"I think the role of science is crucial. If we cannot trust the experience and data gathered by experts we are denying the progress of our mankind that has driven us so far to this point of development. Therefore, it is of extremely high importance to trust their role in the decision making process related to global climate change, for their opinion is based on data and science itself. Scientist can help us reduce the impact of our footprint in this planet.",t
MarketaKo,Student,UBCx/Climate1x/1T2016,569675e4e160f205030004e9,initial_post,Ocean acidification - can someone explain?,10,"Coming from a country with no sea, I have never came across the term ""ocean acidification"". What does it mean? Why is it important? What are the consequences? Thank you for explanation. Marketa",t
aabril77cd,Student,UBCx/Climate1x/1T2016,56ba53372d96fe0501000777,initial_post,Guatemala does not have studies about the effect of carbon in our country.,1,"Guatemala does not have research about climate, and we have a lot of material to work.
 To found statistics about how carbon affect our country was very difficult.",p
mdeebold,Student,UBCx/Climate1x/1T2016,56acd13eaf36f304f4000085,initial_post,Coastal Storms and Climate Change in the Northeastern U.S.,0,"Coastal Storms and Climate Change in the Northeastern U.S.
 
 Having grown up on a barrier island in Southern New Jersey, I have become quite aware of the power and fury of the sea. Coastal storms or ""nor’easters"", have wrecked havoc on barrier islands along the Jersey Coast.
 
 Although a few years before my time, the “Ash Wednesday Storm of 1962” was considered by the U.S. Geological Survey to be one of the most destructive storms ever to affect the mid-Atlantic states. In fact, it has been suggested that this storm was one of the ten worst in the United States during the 20th century. It was responsible for the deaths of 40 people, injured more than 1,000 and caused hundreds of millions in property damage.
 
 More recently, Hurricane Sandy, which made landfall in Atlantic City around 8:00 p.m. on October 29th, was the second costliest hurricane in U.S. history. $37 billion of its $64 billion in damages occurred in New Jersey. The storm ended as the largest Atlantic hurricane on record, having been measured at 1,100 miles in diameter.
 
 Most recently, on January 23, 2016, winter storm Jason pounded the southern New Jersey coast with wind gusts approaching hurricane strength. Many coastal communities witnessed water levels exceeding those of Hurricane Sandy. Several areas throughout the northeast saw more snow from this single storm than that which typically occurs during the entire winter season.
 
 Storms such as the “Ash Wednesday Storm of 1962” and “Superstorm Sandy” are often dubbed “Storms of the Century”. However, due to the serious and significant impacts of climate change, these types of storms are predicted to occur much more frequently.
 
 The National Climate Assessment 2014 in a section specifically highlighting the northeastern U.S., notes that “infrastructure, agricultural, fisheries and ecosystems will be increasingly compromised.” This report continues in stating that this area of the country has experienced a greater increase in extreme precipitation than any other region. In fact, between 1958 and 2010, the northeast has seen a 70% increase in precipitation falling in “very heavy events.”
 
 The Northeast Climate Impacts Assessment (NECIA), a collaboration between the Union of Concerned Scientists and more than fifty independent experts, has noted that the northeast has been warming .5 degrees per decade. In addition to an increase in coastal storms, this area will be negatively impacted due to climate change. Under a “higher emissions scenario” it is estimated that by late in this century, this area will experience summer temperatures between 6 and 14 degrees higher than average. Hemlock, maple, birch, and beech trees would either be eliminated or shift north. Apple, blueberry, cranberry and milk production would decrease while diseases such as West Nile virus and Lyme Disease would increase. Extreme coastal flooding would occur much more regularly. For example, Atlantic City, one town over from my childhood home, would witness “once a century” flooding occur once every year or two.
 
 In an article published in the Boston Globe (May 7, 2014) the authors David Abel and Matt Viser take information from a recent federal report on climate change. They caution that if current rates of emissions continue, the northeastern states will witness extreme heat, taxing electrical systems and disrupted ecosystems. Both coastal and river flooding will increase. In fact, “heat waves, coastal flooding and river flooding will pose a growing challenge to the region’s environmental, social and economic systems.”
 
 The barrier island of Brigantine where I was born and raised, is seeking to adapt to the reality of increasingly numerous and dangerous coastal storms by requiring property owners, when initiating property improvements, to increase the height of their bulkheads. This strategy has not only proven to be ineffective but, more importantly, will do little to mitigate the serious dangers that lie ahead. Rather than pursue a strategy of adaptation, it is incumbent upon each individual, municipality, state and country to work cooperatively in the development and implementation of strategies to reduce and prevent the effects of climate change.",t
GlennTamblyn,Student,UBCx/Climate1x/1T2016,56a6122ba66778052d000db4,initial_post,Anyone want to actually see the GH Effect?,6,"Spoiler Alert. Don't read this until you have worked through Sara's lectures in module 3.
 
 Once you have worked through Sara's lectures about energy budgets you might find this material interesting. It is more technical than the lectures could be, perhaps more technical than you need or are interested in. However there might be some interest for you.
 
 And at the end I can show you a graph, measured from a satellite in 1969, where the effect of CO2 is immediately visible. And it highlights the level of depth and detail to which the scientists understand all this.
 
 Lets start with Sara's graph of the spectrum from the Sun and Earth. 
 
 ![enter image description here][1]
 
 As Sara said, Wiens Law lets us calculate what wavelength the peak of the curve will be at based on the temperature of the object radiating. And the Stefan-Boltzmann Eqn tells us the total amount of heat being radiated.
 
 This is actually the area under that curve. And there is a 3rd eqn that relates Wien and Stefan-Boltzmann to each other. It is called Planck's Law - this is like a who's who of great 19th century physicists. You can read about it [here][2] - the formula is rather complicated math. 
 
 Planck's Law describes the shape of the spectrum curve, based on the temperature of the object, Wien's Law works out the location of the peak of Planck's curve, and Stefan-Boltzmann calculates the area under Planck's curve.
 
 As an object gets hotter this curve shifts to the left on Sara's graph of wavelengths. From infrared to visible to ultra-violet. And it gets brighter, so the curve grows taller. Importantly however the shape of the curve doesn't change - it slides and stretches but keeps the same shape. When we look at a single object glowing at a certain temperature we expect to see this curve. And most things do look this way, broadly speaking.
 
 This is the spectrum for the Sun, measured by satellites. The yellow curve is from above the atmosphere. As you can see it matches the Planck curve Sara showed pretty well. And the orange curve is what reaches the surface, after reflection from the clouds and absorption by the atmosphere. See how much of the ultra-violet is absorbed by the ozone layer, and the absorption by water vapour and oxygen. There is even a tiny bit of absorption by CO2 at a wavelength of around 2000 nanometers - 2 micrometers (microns). This is a tiny contribution from CO2. It's main effect is on radiation going out to space. The main action as far as radiation to space from the Earth is concerned is far to the right off this graph, at wavelengths between around 5000 to 30,000 nanometers (5 to 30 microns)
 ![enter image description here][3]
 
 
 
 So, in early 1969 NASA launched a satellite, Nimbus 3. It was used to test a range of instruments that could be used for observing the Earth. One of those instruments was a Michelson Infrared Interferometer. A device that could actually measure the infrared spectrum coming up from the Earth - the Planck Curve. 
 
 In April 1969, months before Armstrong and Aldrin landed on the moon, an experiment was carried out using the satellite. A weather balloon was launched from near Galveston in Texas on the Gulf of Mexico coast. As it ascended it measured air temperatures, pressures and humidity in the air column above Galveston. And it was launched so that Nimbus 3 was passing overhead as it rose. So Nimbus 3 was looking down at this region at the same time the weather balloon was rising through it.
 
 In 1970 a scientific paper was published covering a range of studies using this interferometer, including this experiment. At this point in time they were still evaluating all the things an instrument like this could be used for. So a lot of the paper is quite technical. The paper is called 'THE INTERFEROMETER EXPERIMENT ON NIMBUS 3'. Cited as Conrath et al 1970 [here][4].
 
 A dry, dusty name but several graphs from page 54 to 60 are really important.
 
 This is the first. Two curves. One is the spectrum from the earth, as measured by the satellite - the range of wavelengths on the graphs isn't the full spectrum, just most of it - it was limited by the range the instrument can measure.
 
 The other is the spectrum calculated using the measurements from the weather balloon to provide data for a theoretical calculation using the physics of radiation transfer and the properties of the GH gases. 
 ![enter image description here][5]
 Basic science. Make a prediction from theory and compare it to observations.
 
 As you can see the two curves are very similar, but are one above the other. **This is because the two curves, theory and observations actually matched so well that you almost couldn't tell them apart. So they shifted one of them up by a bit, just so they could be told apart.** Look at the graph below. It shows half the data from the first graph without the vertical displacement. They match almost perfectly.
 
 And reading the text of the paper, these results and the degree of agreement between theory and observation didn't surprise anyone. They expected them and were more interested in the fine details of accuracy.
 
 Think about this. In 1969, with simpler instruments than today, with far less computer power available, the knowledge of all this was sufficiently well developed that they could get almost everything right and weren't even surprised!
 
 So look at the first graph again. They have labelled several regions of the graph - H2O (Water), Ozone, CH4 (Methane). And one called H2O Rotational. This is an aspect of GH gases that Sara wasn't able to mention. Water molecules have a permanent bend in them whereas CO2 is straight when it is at rest and only gets a bend when it vibrates. So water's charge separation that Sara discussed is permanent whereas CO2's only appears when it bends. With a permanent charge separation, it isn't just vibrations of the molecule that can absorb energy, it is also rotations. Water can absorb radiation via vibrations and rotations, and this happens in two different parts of the spectrum.
 
 Finally, there is a section labelled CO2. This is the part of the spectrum where CO2 absorbs. It isn't as broad as the H2O parts, but it is very deep. A big chunk taken out of the graph.
 
 Now look at the broad shape of the graph and imagine the Planck curve. We can see it there. But pieces of it are missing, like mice have been eating some of the cheese. Remember that the total energy is the area under the curve from the relationship between Stefan-Boltzmann and Planck. So if there is less area under the curve because of what the GH gases are doing, there is less energy going out to space. 
 
 **This is directly observing the GH effect.** And that deep notch is due to CO2. Sort of sticks out like a sore thumb. So next time you hear a climate skeptic claim that there is no evidence of CO2's role in climate, remember this graph.
 
 And this isn't a one off. Satellites have been observing this since 1969. They have observed different parts of the earth to see the differences in this effect from place to place for nearly 1/2 a century.
 
 **Some more detail if you want to drill deeper.** 
 
 Look at the graph above. The region between the two H2O regions, where the word 'observed' is. There are no GH gases mentioned here. This is sometimes called the 'Atmospheric Window'. The region of the spectrum where none of the GH gases are active. Sara mentioned this. In the energy balance graph she showed, there was 40 Watts/M^2 that went straight out to space. That is what goes through this part of the spectrum. What the satellite measured in this part of the spectrum came directly from the surface. And everything else in this spectrum **didn't** originate from the surface. It is radiation from higher in the atmosphere.
 
 This Atmospheric Window is important. It allows astronomers to see at least part of the infrared radiation from stars, galaxies etc. from the ground without it being distorted by the atmosphere. And sadly it has military applications. Heat-seeking air-to-air missiles use the atmospheric window to see the radiation from an aircrafts engines clearly without distortion.
 
 Now look at the next graph, more detail, this the left hand half of the first graph. Notice how they have plotted the measurements and observations without any displacement. Apart from some small discrepancies, they are almost perfect matches. From the state of science in 1969!
 ![enter image description here][6]
 
 
 
 
 Then they have also plotted hypothetical Planck curves for different temperatures - in Kelvin.
 
 Look at the region on the right of the notch, the atmospheric window. It lies between the 280 and 300 Kelvin Planck curves. Roughly at around 295 Kelvin - 22 Celsius. Now look at the graph further down. This is from page 60 in the paper and the solid line shows the actual temperatures the weather balloon measured. Heights are given as pressure rather than actual meters because the balloons don't have a radar altimeter and the convention in Meteorology is to describe heights based on air pressure. 
 
 And near the ground the temperature is roughly 295 Kelvin. We can see the temperature of the ground from the Planck curve!
 
 Now look at the other region to the left in the detail graph. Part of the H2O rotational region. The temperatures from the Planck curves vary between 240 and 280 Kelvin. -33 C to +7 C. This reflects the fact that different parts of the H2O spectrum are originating from different heights in the atmosphere. Mainly the middle to lower troposphere. 
 
 Now look at the CO2 'notch'. The bottom of the notch matches a Planck curve for 220 Kelvin - -53 C. Now look at the balloon data. That roughly matches the temperatures at the 300 to 50 mB pressure levels. The lower Stratosphere where temperatures are at their coldest but stop getting colder with altitude. Now look at the little peak at the centre of the CO2 notch. That has a slightly higher 'planck temperature'. Not because we are lower in the atmosphere; because we are higher. That corresponds to more like 235 Kelvin. From even higher still, in the upper stratosphere where temperatures start to rise again. 
 
 We can 'read' a spectrum like this to start to understand how the different parts of the spectrum are coming from different heights in the atmosphere. We can look at a spectrum from a hot dry location. The atmospheric window will show the high ground temperature while the H2O sections won't be as different from that because water vapour drops off sharply with altitude. We can look at a spectrum from a hot wet location. Still high temperature observed in the window but the H2O region will be more different because, with more water in the air, you have to go higher and cooler before concentrations drop to allow radiation to space. We can look at a spectrum from the polar regions in winter. Virtually no H2O - it's too cold. And we can see the temperature inversions where the surface is colder than the upper air.
 
 We can do all this because we know, in detail, how all this happens in the atmosphere.
 
 ![enter image description here][7]
 
 
 
 
 
 **Had enough? Or want to geek out even further?**
 
 How do we know all of this? Because we know the properties of GH gases in exquisite detail. Not just theory. Observations. 
 
 The [HiTran][8] Spectroscopic database is one of the most important (although not the only) database of the detailed measurements of the absorption properties of various gases present in the atmosphere. It's current version has data on 42 different gases in the atmosphere including all the major ones. 120 different [isotopologues][9] of those gases. And over 7 million individual absorption 'lines'. The database is currently maintained by the Atomic and Molecular Physics Division, Harvard-Smithsonian Center for Astrophysics. However its origins go back to the Cold War, starting with research funded by the US Air Force in the 1950's. They wanted to build air-to-air heat-seeking missiles and needed to understand what happened in the atmosphere. In detail. It has grown from there.
 
 It is now used for military purposes; NASA, the European Space Agency etc. use it in all their planetary science work; it is used in a wide range of product developments of commercial products; it is used in understanding how the satellites that measure air temperatures for weather forecasting work. Oh and it is used to understand the GH Effect.
 
 The data from HiTran is available to anyone. You can download it. They have a process and a bit of rigmarole but anyone can get it. But it is a VERY big data file with lots of numbers, and what they mean is quite technical. But it ain't secret.
 
 This [website][10] offers a convenient interface to HiTran so you can look at just what you might be interested in. Their [Line List Browser][11] lets you extract the HiTran data for any gas, over any range of wavelengths. This is the data for CO2 in the wavelengths we are interested in.
 
 ![enter image description here][12]
 
 Essentially this is how strongly CO2 absorbs at different wavelengths - in serious, serious detail. There are over 90,000 separate lines here. The vertical scale is logarithmic. So the difference between -20 and -22 on this scale is a difference of 100 in strength of absorptivity. Notice that the peak of this graph is a bit below 15 microns. Exactly matching the centre of the little peak in the middle of the CO2 notch in the graph from Conrath et al above!
 
 And it goes deeper. SpectralCalc lets one download the [detailed numbers from HiTran][13] for the area you are looking at.
 
 It looks like this:
 
  25 562.393650 8.450e-30 3.513e-01.0705.0960 2720.46290.73-.000709 2 1 1 03 1 2 2 02 P 24e 4377541221 5 4 5 7 94.0 98.0
  21 562.399508 3.581e-26 1.021e-01.0725.1000 2925.14990.70-.000678 2 1 1 02 1 2 2 01 P 20e 5377641827 5 4 5 7 39.0 41.0
 
 Oooh Yuck, numbers!!!
 
 But in here we have the basic Spectral Intensity, the raw indicator of absorptivity. We have the Einstein A Coefficient, that plugs into Einsteins equations for estimating emission. It includes detailed data used for evaluating how those 90k+ lines get broadened due to collisions, air temperature etc. 
 
 There is more detail here than any of us can grasp. So, do I understand all of this? Nope. Some yes but this nuts-and-bolts detail is way above my pay-grade. And I haven't even begun to try to delve into the quantum mechanics of why all of this is so - my head would explode.
 
 But specialists in these fields do. This is their day job. These folks don't spend their days throwing darts at dart boards and guessing a lot. They work much much harder than that. But maybe we don't understand that.
 
 You may not understand all of this - I don't. But some people do. Surely we should listen to them?
 
 
  [1]: https://edxuploads.s3.amazonaws.com/14537208919967842.png
  [2]: https://en.wikipedia.org/wiki/Planck%27s_law
  [3]: https://edxuploads.s3.amazonaws.com/14537202974513177.png
  [4]: http://ntrs.nasa.gov/archive/nasa/casi.ntrs.nasa.gov/19700022421.pdf
  [5]: https://edxuploads.s3.amazonaws.com/14537206585666959.png
  [6]: https://edxuploads.s3.amazonaws.com/14537207842943299.png
  [7]: https://edxuploads.s3.amazonaws.com/14537218419748102.png
  [8]: http://hitran.org/
  [9]: https://en.wikipedia.org/wiki/Isotopologue
  [10]: http://www.spectralcalc.com/info/about.php
  [11]: http://www.spectralcalc.com/info/about.php
  [12]: https://edxuploads.s3.amazonaws.com/14537221021354097.png
  [13]: http://www.spectralcalc.com/spectral_browser/db_data.php",t
IvanNavia,Student,UBCx/Climate1x/1T2016,56a42bf45fd70904ea000c53,initial_post,Deadline for upgrade,2,"Could you please tell me the deadling for upgrading to a verified certificate? I think it's two weeks from when the course started but I'm not really sure, thanks in advance!",p
Aum3,Student,UBCx/Climate1x/1T2016,5693fef05fd709050b000359,initial_post,Hello Community,1,"Hello Dear Friends, (if I may call you'll friend) As we are all in the same space of learning and I assume have a deeper inclination of how we can be of assistance to our planet, this course be the beginning of a long journey. Look forward to contribute, share and most important learn from you all.",s
